date,area (km2)
2017-07-29,12.492
2017-08-02,11.776
2017-08-14,12.846
2017-08-17,11.634
2017-08-30,13.462
2017-09-06,12.845
2017-09-11,13.702
2017-09-15,13.805
2017-09-26,14.283
2017-10-01,14.565
2017-10-16,14.94
2017-10-17,15.141
2017-10-21,15.303
2017-11-02,15.483
2017-11-05,15.652
2017-11-18,15.826
2017-11-25,15.996
2017-11-30,15.577
2017-12-04,14.84
2017-12-05,14.928
2017-12-15,15.249
2017-12-20,15.45
2017-12-25,15.708
2018-01-04,15.935
2018-01-05,16.175
2018-01-09,16.406
2018-01-14,16.469
2018-01-21,16.443
2018-01-24,16.462
2018-01-29,16.458
2018-02-03,16.466
2018-02-06,16.472
2018-02-08,16.482
2018-02-13,16.49
2018-02-18,16.499
2018-02-22,16.507
2018-02-23,16.516
2018-02-28,16.419
2018-03-05,16.27
2018-03-10,16.145
2018-03-15,16.007
2018-03-20,15.876
2018-03-25,15.74
2018-03-26,15.605
2018-03-30,15.469
2018-04-04,15.333
2018-04-09,15.064
2018-04-11,14.727
2018-04-14,14.419
2018-04-24,14.162
2018-04-27,13.943
2018-04-29,12.849
2018-05-04,13.055
2018-05-09,12.613
2018-05-13,12.489
2018-05-14,12.204
2018-05-19,11.996
2018-05-24,11.746
2018-05-29,11.513
2018-06-03,12.749
2018-06-08,12.849
2018-06-14,13.396
2018-06-18,13.707
2018-06-23,14.13
2018-06-28,14.488
2018-06-30,15.864
2018-07-03,15.749
2018-07-08,16.382
2018-07-13,16.631
2018-07-18,17.067
2018-07-23,17.402
2018-07-28,17.782
2018-08-01,18.134
2018-08-02,18.063
2018-08-07,17.756
2018-08-12,17.564
2018-08-17,17.313
2018-08-22,17.089
2018-08-27,16.849
2018-09-01,16.614
2018-09-02,19.13
2018-09-06,19.256
2018-09-11,18.833
2018-09-18,18.685
2018-09-21,18.601
2018-09-26,18.389
2018-10-01,18.336
2018-10-04,18.392
2018-10-06,18.366
2018-10-11,18.38
2018-10-16,18.375
2018-10-20,18.379
2018-10-21,18.378
2018-10-26,18.377
2018-10-31,18.373
2018-11-05,18.371
2018-11-10,18.367
2018-11-15,18.364
2018-11-20,18.361
2018-11-21,18.358
2018-11-25,18.355
2018-11-30,18.352
2018-12-07,18.349
2018-12-10,18.346
2018-12-15,18.338
2018-12-20,18.328
2018-12-23,18.319
2018-12-25,18.309
2018-12-30,18.3
2019-01-04,18.291
2019-01-08,18.281
2019-01-09,18.272
2019-01-14,18.262
2019-01-24,18.253
2019-01-29,18.243
2019-02-03,18.244
2019-02-08,18.249
2019-02-09,18.252
2019-02-18,18.256
2019-02-23,18.259
2019-02-25,18.263
2019-02-28,18.151
2019-03-05,18.094
2019-03-06,18.037
2019-03-10,17.979
2019-03-15,17.922
2019-03-20,17.864
2019-03-22,17.806
2019-03-25,17.747
2019-03-30,17.689
2019-04-04,16.759
2019-04-07,16.818
2019-04-09,16.031
2019-04-14,16.017
2019-04-19,15.616
2019-04-23,15.397
2019-04-24,14.573
2019-04-29,14.565
2019-05-04,14.149
2019-05-09,13.92
2019-05-14,13.588
2019-05-19,13.292
2019-05-24,12.962
2019-05-25,12.63
2019-05-29,12.679
2019-06-03,12.889
2019-06-08,13.012
2019-06-10,13.176
2019-06-13,13.315
2019-06-18,13.463
2019-06-23,13.603
2019-06-26,13.744
2019-06-28,13.881
2019-07-03,14.018
2019-07-08,14.152
2019-07-12,14.285
2019-07-13,14.416
2019-07-18,14.546
2019-07-23,14.674
2019-07-28,14.8
2019-08-02,14.926
2019-08-07,15.05
2019-08-12,15.173
2019-08-13,15.295
2019-08-17,15.415
2019-08-22,15.535
2019-08-27,15.654
2019-08-29,15.771
2019-09-01,15.888
2019-09-06,16.003
2019-09-11,16.118
2019-09-14,16.231
2019-09-16,16.344
2019-09-21,16.456
2019-09-26,16.568
2019-09-30,16.678
2019-10-01,16.788
2019-10-06,16.897
2019-10-11,17.005
2019-10-16,17.112
2019-10-21,17.219
2019-10-26,17.325
2019-10-31,17.431
2019-11-01,17.536
2019-11-05,17.64
2019-11-10,17.743
2019-11-15,17.846
2019-11-17,17.949
2019-11-20,18.051
2019-11-25,18.152
2019-11-30,18.15
2019-12-03,18.094
2019-12-05,18.066
2019-12-10,18.024
2019-12-15,17.988
2019-12-19,17.949
2019-12-20,17.912
2019-12-25,17.873
2019-12-30,17.835
2020-01-04,17.797
2020-01-09,17.759
2020-01-14,17.721
2020-01-19,17.682
2020-01-20,17.644
2020-01-24,17.578
2020-01-29,17.497
2020-02-03,17.424
2020-02-05,17.347
2020-02-08,17.271
2020-02-13,17.193
2020-02-18,17.116
2020-02-21,17.039
2020-02-23,16.961
2020-02-28,16.882
2020-03-04,16.804
2020-03-08,16.725
2020-03-09,16.645
2020-03-14,16.565
2020-03-19,16.485
2020-03-24,16.404
2020-03-29,16.211
2020-04-03,15.96
2020-04-08,15.732
2020-04-09,15.487
2020-04-13,15.243
2020-04-18,14.992
2020-04-23,14.737
2020-04-25,14.475
2020-04-28,13.841
2020-05-03,13.764
2020-05-08,13.405
2020-05-11,12.828
2020-05-13,12.709
2020-05-18,12.354
2020-05-23,12.096
2020-05-27,12.031
2020-05-28,12.096
2020-06-02,12.096
2020-06-07,12.128
2020-06-12,12.144
2020-06-17,12.168
2020-06-22,12.188
2020-06-27,12.209
2020-06-28,12.23
2020-07-02,12.251
2020-07-07,12.272
2020-07-12,12.293
2020-07-14,12.313
2020-07-17,12.334
2020-07-22,12.355
2020-07-27,12.593
2020-07-30,12.928
2020-08-01,13.197
2020-08-06,13.485
2020-08-11,13.75
2020-08-15,14.016
2020-08-16,14.271
2020-08-21,14.523
2020-08-26,14.768
2020-08-31,15.008
2020-09-05,15.244
2020-09-10,15.476
2020-09-15,15.704
2020-09-16,15.927
2020-09-20,16.056
2020-09-25,16.135
2020-09-30,16.238
2020-10-02,16.328
2020-10-05,16.423
2020-10-10,16.515
2020-10-15,16.608
2020-10-18,16.699
2020-10-20,16.791
2020-10-25,16.881
2020-10-30,16.971
2020-11-03,17.061
2020-11-04,17.15
2020-11-09,17.239
2020-11-14,17.327
2020-11-19,17.415
2020-11-24,17.446
2020-11-29,17.448
2020-12-04,17.464
2020-12-05,17.473
2020-12-09,17.486
2020-12-14,17.497
2020-12-19,17.508
2020-12-21,17.52
2020-12-24,17.531
2020-12-29,17.543
2021-01-03,17.554
2021-01-06,17.565
2021-01-08,17.577
2021-01-13,17.588
2021-01-18,17.6
2021-01-22,17.572
2021-01-23,17.525
2021-01-28,17.487
2021-02-02,17.445
2021-02-07,17.405
2021-02-12,17.364
2021-02-17,17.323
2021-02-22,17.281
2021-02-23,17.24
2021-02-27,17.199
2021-03-04,17.157
2021-03-09,17.116
2021-03-11,17.074
2021-03-14,17.032
2021-03-19,16.99
2021-03-24,16.88
2021-03-27,16.734
2021-03-29,16.605
2021-04-03,16.466
2021-04-08,16.329
2021-04-12,16.19
2021-04-13,16.05
2021-04-18,15.908
2021-04-23,15.765
2021-04-28,15.62
2021-05-03,15.474
2021-05-08,15.327
2021-05-13,15.177
2021-05-14,15.026
2021-05-18,14.974
2021-05-23,14.969
2021-05-28,14.94
2021-05-30,14.923
2021-06-02,14.901
2021-06-07,14.881
2021-06-12,14.86
2021-06-15,14.839
2021-06-17,14.818
2021-06-22,14.797
2021-06-27,14.776
2021-07-01,14.755
2021-07-02,14.734
2021-07-07,14.713
2021-07-12,14.692
2021-07-17,14.671
2021-07-22,14.803
2021-07-27,15.009
2021-08-01,15.174
2021-08-02,15.356
2021-08-06,15.525
2021-08-11,15.697
2021-08-16,15.865
2021-08-18,16.032
2021-08-21,16.197
2021-08-26,16.36
2021-08-31,16.521
2021-09-03,16.68
2021-09-05,16.838
2021-09-10,16.995
2021-09-15,17.149
2021-09-19,17.21
2021-09-20,17.222
2021-09-25,17.258
2021-09-30,17.283
2021-10-05,17.313
2021-10-10,17.34
2021-10-15,17.368
2021-10-20,17.396
2021-10-21,17.424
2021-10-25,17.452
2021-10-30,17.48
2021-11-04,17.508
2021-11-06,17.535
2021-11-09,17.563
2021-11-14,17.591
2021-11-19,17.599
2021-11-22,17.598
2021-11-24,17.601
2021-11-29,17.602
2021-12-04,17.604
2021-12-08,17.606
2021-12-09,17.608
2021-12-14,17.609
2021-12-19,17.611
2021-12-24,17.613
2021-12-29,17.615
2022-01-03,17.617
2022-01-08,17.618
2022-01-09,17.62
2022-01-13,17.557
2022-01-18,17.461
2022-01-23,17.38
2022-01-25,17.291
2022-01-28,17.205
2022-02-02,17.117
2022-02-07,17.03
2022-02-10,16.942
2022-02-12,16.853
2022-02-17,16.764
2022-02-22,16.674
2022-02-26,16.584
2022-02-27,16.493
2022-03-04,16.402
2022-03-09,16.31
2022-03-14,16.217
2022-03-19,16.122
2022-03-24,16.024
2022-03-29,15.926
2022-03-30,15.828
2022-04-03,15.728
2022-04-08,15.628
2022-04-13,15.528
2022-04-15,15.426
2022-04-18,15.324
2022-04-23,15.221
2022-04-28,15.117
2022-05-01,15.012
2022-05-03,14.906
2022-05-08,14.8
2022-05-13,14.692
2022-05-17,14.619
2022-05-18,14.563
2022-05-23,14.497
2022-05-28,14.436
2022-06-02,14.372
2022-06-07,14.309
2022-06-12,14.245
2022-06-17,14.181
2022-06-18,14.116
2022-06-22,14.051
2022-06-27,13.986
2022-07-02,13.92
2022-07-04,13.854
2022-07-07,13.787
2022-07-12,13.72
2022-07-17,13.931
2022-07-20,14.268
2022-07-22,14.528
2022-07-27,14.817
2022-08-01,15.081
2022-08-05,15.349
2022-08-06,15.607
2022-08-11,15.863
2022-08-16,16.112
2022-08-21,16.359
2022-08-26,16.601
2022-08-31,16.839
2022-09-05,17.074
2022-09-06,17.305
2022-09-10,17.369
2022-09-15,17.345
2022-09-20,17.364
2022-09-22,17.362
2022-09-25,17.37
2022-09-30,17.374
2022-10-05,17.379
2022-10-08,17.384
2022-10-10,17.389
2022-10-15,17.394
2022-10-20,17.399
2022-10-24,17.404
2022-10-25,17.409
2022-10-30,17.414
2022-11-04,17.419
2022-11-09,17.424
2022-11-14,17.411
2022-11-19,17.388
2022-11-24,17.371
2022-11-25,17.351
2022-11-29,17.332
2022-12-04,17.312
2022-12-09,17.293
2022-12-11,17.274
2022-12-14,17.254
2022-12-19,17.235
2022-12-24,17.216
2022-12-27,17.196
2022-12-29,17.177
2023-01-03,17.157
2023-01-08,17.138
2023-01-12,17.086
2023-01-13,17.019
2023-01-18,16.959
2023-01-23,16.895
2023-01-28,16.832
2023-02-02,16.768
2023-02-07,16.705
2023-02-12,16.641
2023-02-13,16.577
2023-02-17,16.512
2023-02-22,16.448
2023-02-27,16.383
2023-03-01,16.317
2023-03-04,16.252
2023-03-09,16.186
2023-03-14,16.066
2023-03-17,15.918
2023-03-19,15.782
2023-03-24,15.638
2023-03-29,15.495
2023-04-02,15.35
2023-04-03,15.204
2023-04-08,15.055
2023-04-13,14.905
2023-04-18,14.753
2023-04-23,14.599
2023-04-28,14.444
2023-05-03,14.285
2023-05-04,14.125
2023-05-08,13.983
2023-05-13,13.848
2023-05-18,13.707
2023-05-20,13.566
2023-05-23,13.422
2023-05-28,13.276
2023-06-02,13.128
2023-06-05,12.977
2023-06-07,12.823
2023-06-12,12.666
2023-06-17,12.506
2023-06-21,12.342
2023-06-22,12.175
2023-06-27,12.003
2023-07-02,11.826
2023-07-05,11.644
2023-07-07,11.726
2023-07-12,11.918
2023-07-17,12.048
2023-07-21,12.205
2023-07-22,12.343
2023-07-23,12.486
2023-07-27,12.622
2023-08-01,12.758
2023-08-04,12.891
2023-08-06,13.022
2023-08-11,13.151
2023-08-16,13.278
2023-08-20,13.403
2023-08-21,13.526
2023-08-22,13.648
2023-08-26,13.769
2023-08-31,13.888
2023-09-05,14.005
2023-09-10,14.207
2023-09-15,14.448
2023-09-20,14.662
2023-09-21,14.884
2023-09-25,15.096
2023-09-30,15.307
2023-10-05,15.513
2023-10-07,15.718
2023-10-10,15.918
2023-10-15,16.116
2023-10-20,16.312
2023-10-23,16.505
2023-10-25,16.695
2023-10-30,16.883
2023-11-04,17.069
2023-11-08,17.117
2023-11-09,17.093
2023-11-14,17.105
2023-11-19,17.099
2023-11-24,17.102
2023-11-29,17.101
2023-12-04,16.345
2023-12-09,15.345
2023-12-12,14.755
2023-12-14,14.755
2023-12-19,16.145
2023-12-20,17.268
2023-12-24,17.268
2023-12-28,16.035
2023-12-29,15.882
2024-01-03,15.864
2024-01-05,15.845
2024-01-08,15.834
2024-01-13,15.819
2024-01-18,15.806
2024-01-21,15.792
2024-01-23,15.778
2024-01-28,15.764
2024-01-29,15.75
2024-02-02,15.737
2024-02-06,15.723
2024-02-07,15.709
2024-02-12,15.695
2024-02-14,15.682
2024-02-17,15.668
2024-02-22,15.654
2024-02-27,15.64
2024-03-01,15.626
2024-03-09,15.623
2024-03-13,11.086
2024-03-17,10.902
2024-03-18,11.086
2024-03-23,10.88
2024-03-25,10.746
2024-03-28,11.938
2024-04-02,11.823
2024-04-07,10.334
2024-04-08,10.267
2024-04-12,10.334
2024-04-24,10.133
2024-04-27,8.952
2024-05-02,8.709
2024-05-07,8.466
2024-05-12,8.839
2024-05-17,8.536
2024-05-22,11.25
2024-05-27,11.25
2024-06-01,11.25
2024-06-06,11.25
2024-06-11,6.086
2024-06-16,6.609
2024-06-19,6.685
2024-06-21,6.609
2024-06-26,6.609
2024-06-27,6.772
2024-07-01,6.609
2024-07-06,7.425
2024-07-11,6.609
2024-07-16,6.609
2024-07-21,6.609
2024-07-26,6.609
2024-07-31,6.609
2024-08-05,6.609
2024-08-10,6.609
2024-08-15,6.609
2024-08-20,12.921
2024-08-25,12.921
2024-08-30,13.007
